Наименование,ИНН,Номер лицензии,Дата выдачи лицензии,Регион
"ООО ""Алкын""",1633606168,А05001340,12/24/2010,16
"ООО ""Альбина""",1633606048,А-05013428,10/10/2011,16
"ООО ""БУТЫРКИ""",1633605527,А-05001465,4/7/2011,16
"ООО ""Визит""",1633605990,А-05014272,12/1/2006,16
"ООО ""ГайДа-р""",1633606030,А-05014010,12/11/2006,16
"ООО ""ГайДа-р""",1633606030,А-05014010,8/14/2007,16
"ООО ""ГайДа-р""",1633606030,А05013069,5/19/2011,16
"ООО ""ДАР""",1633605975,А-05012822,6/30/2006,16
"ООО ""Затлы""",1633605372,А-05012414,3/20/2006,16
"ООО ""Затлы""",1633605372,А-05012414,6/30/2006,16
"ООО ""Затлы""",1633605372,А-05012414,8/19/2009,16
"ООО ""Затлы""",1633605372,А-05012414,12/11/2009,16
"ООО ""Звезда""",1633606175,А-05013438,10/14/2011,16
"ООО ""Кулик""",1633607115,А05014839,10/7/2009,16
"ООО ""Лейсан""",1633606552,А-05014505,10/9/2007,16
"ООО ""Лилия""",1633606055,А-05014344,2/2/2007,16
"ООО ""Оазис""",1659064819,А-05013240,7/6/2011,16
"ООО ""Пестрецыагро""",1633606993,А05014805,7/24/2009,16
"ООО ""Пестрецыагро""",1633606993,А05001310,12/7/2010,16
"ООО ""Продмаркет""",1633605478,А-05014224,10/5/2006,16
"ООО ""Продмаркет""",1633605478,А-05014224,12/18/2006,16
"ООО ""Продмаркет""",1633605478,А-05014224,9/10/2008,16
"ООО ""Рамиль""",1619004718,А-05004496,12/15/2011,16
"ООО ""РинДан""",1633607394,А-05001087,6/17/2010,16
"ООО ""Руслан""",1633606062,А-05013324,7/28/2011,16
"ООО ""САМИР""",1656034679,А05013246,7/7/2011,16
"ООО ""Саф""",1633607620,А05013221,7/1/2011,16
"ООО ""У Никиты""",1633607010,A05014843,10/9/2009,16
"ООО ""Универсал""",1633605855,А-05012602,6/2/2006,16
"ООО ""Фирма ""Тансу+""",1656045991,А05013086,5/26/2011,16
"ООО ""Фирма ""Тансу+""",1656045991,А05014811,8/26/2009,16
"ООО ""Форсат-Н""",1633607098,А05014828,9/21/2009,16
"ООО ""ШИК""",1633606200,А-05014265,11/22/2006,16
"Потребительский кооператив ""Подсобное сельское хозяйство ""Карповка""",1633001123,А-05013259,7/12/2011,16
"ООО ""БАХЕТЕМ""",1634005674,А-05014431,6/21/2007,16
"ООО ""Дияр""",1634005547,А-05013213,6/30/2011,16
"ООО ""Зиля""",1634004960,А-05013125,6/7/2011,16
"ООО ""Кама""",1659067337,А-05001198,9/14/2010,16
"ООО ""Лидер""",1634007872,А05013289,7/25/2011,16
"ООО ""Табиб""",1634003902,А-05013053,5/13/2011,16
"ООО ""Юлдаш""",1634005635,А05013412,9/29/2011,16
"ООО фирма ""Луч""",1624004618,А05013301,7/28/2011,16
"ООО""ЛОГОС""",1634002169,А05014723,1/27/2009,16
"Общество с ограниченной ответственностью ""Василек""",1612006177,А05004425,7/4/2011,16
"Общество с ограниченной ответственностью ""Восток""",1619004500,А-05004078,5/4/2007,16
"Потребительское общество ""Кама-2""",1634006815,А05013020,4/28/2011,16
"Потребительское общество ""Кама-2""",1634006815,А05013106,6/3/2011,16
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АРТИК""",1635006511,А05004454,8/8/2011,16
"ООО ""Аккорд""",1635006705,А05004245,3/2/2007,16
"ООО ""Альянс""",1635006960,А05004303,8/28/2009,16
"ООО ""Ермак""",1635006920,А05004249,4/18/2007,16
"ООО ""Зиннат""",1635006575,А05004462,8/23/2011,16
"ООО ""Искандер""",1635007385,А05004262,2/6/2008,16
"ООО ""Кант""",1635005363,А05004506,12/29/2011,16
"ООО ""Маяк""",1635007586,А05004268,5/16/2008,16
"ООО ""Нур""",1635009142,А05004392,4/28/2011,16
"ООО ""Нур""",1635009142,А05004438,7/21/2011,16
"ООО ""Нур""",1635009142,А05004501,12/21/2011,16
"ООО ""Радик""",1635006991,А05004248,4/11/2007,16
"ООО ""Сабах плюс""",1635004120,А05004503,12/27/2011,16
"ООО ""Тургай""",1635008068,А05004288,2/18/2009,16
"ООО ""Фирма ""Тансу+""",1656045991,А05014811,9/17/2009,16
"ООО ""Шатлык""",1635008100,А05004302,8/21/2009,16
"ООО ""Шатлык""",1635008100,А05004414,6/28/2011,16
"ООО ""ЭкоПродукт""",1635009103,А05004461,8/19/2011,16
"ООО ""Ядкарь""",1635006712,А05004483,11/28/2011,16
"Общество с ограниченной ответственностью ""Юлдаш""",1635006335,А-05004103,6/27/2006,16
"Общество с ограниченной ответственностью ""Юлдаш""",1635006335,А-05004103,1/26/2009,16
"Общество с ограниченной ответственностью ""Юлдаш""",1635006335,А05004329,2/19/2010,16
"Общество с ограниченной ответственностью ""Юлдаш""",1635006335,А05004444,7/25/2011,16
"Общество с ограниченной ответственностью ""Юлдаш""",1635006335,А05004452,8/8/2011,16
"Общество с ограниченной ответственностью ""Юлдаш""",1635006335,А05004469,9/30/2011,16
"Общество с ограниченной ответственностью ""Юлдаш""",1635006335,А05004486,11/28/2011,16
"Общество с ограниченной ответственностью ""Юлдаш""",1635006335,А05004502,12/22/2011,16
"Общество с ограниченной ответственностью ""Герат""",1635006215,А-05004090,6/9/2006,16
"Общество с ограниченной ответственностью ""Герат""",1635006215,А-05004090,3/2/2007,16
"Общество с ограниченной ответственностью ""Герат""",1635006215,А05004319,1/28/2010,16
"Общество с ограниченной ответственностью "" ФИМ """,1635006166,А-05004380,3/31/2011,16
"Общество с ограниченной ответственностью ""Арыслан""",1635006470,А-05004453,8/8/2011,16
"Общество с ограниченной ответственностью ""Гузаль""",1635006504,А05004318,1/27/2010,16
"Общество с ограниченной ответственностью ""Гузаль""",1635006504,А05004484,11/28/2011,16
"Общество с ограниченной ответственностью ""ГульХан""",1635006230,А-05004100,6/23/2006,16
"Общество с ограниченной ответственностью ""Динар""",1635006462,А-05004449,8/2/2011,16
"Общество с ограниченной ответственностью ""Ильвина""",1635006374,А-05004412,6/27/2011,16
"Общество с ограниченной ответственностью ""Ласка""",1635006102,А05004383,4/5/2011,16
"Общество с ограниченной ответственностью ""МИР""",1635006350,А05004417,6/29/2011,16
"Общество с ограниченной ответственностью ""МИР""",1635006350,А05004492,12/6/2011,16
"Общество с ограниченной ответственностью ""Нарат""",1635006180,А05004270,5/30/2008,16
"Общество с ограниченной ответственностью ""Нарат""",1635006180,А05004375,3/23/2011,16
"Общество с ограниченной ответственностью ""Нарат""",1635006180,А05004433,7/12/2011,16
"Общество с ограниченной ответственностью ""Стройснаб""",1635006134,А-05004388,4/19/2011,16
"Общество с ограниченной ответственностью ""Шатлык""",1635006416,А-05004110,6/30/2006,16
"Общество с ограниченной ответственностью ""Язгулем""",1635006303,А-05004415,6/28/2011,16
"Общество с ограниченной ответственностью ""Язгулем""",1635006303,А05004431,7/12/2011,16
"Общество с ограниченной ответственностью ""Язгулем""",1635006303,А05004451,8/2/2011,16
"Общество с ограниченной ответственностью ""Язгулем""",1635006303,А05004485,11/28/2011,16
"Общество с ограниченной ответственостью""Сабинский ОРС""",1635005412,А-05004413,6/27/2011,16
"Потребительское общество ""Саба""",1635004881,А05004511,1/17/2012,16
"Потребительское общество ""Тимершик""",1635004867,А05004510,1/17/2012,16
"ООО ""АЗАТ""",1636006264,А05000323,6/2/2008,16
"ООО ""АЗАТ""",1636006264,А05000426,12/2/2010,16
"ООО ""Весна""",1636005334,А05000492,6/29/2011,16
"ООО ""Для Вас""",1636006024,А05000278,3/19/2007,16
"ООО ""Изге Ай""",1636006070,А05000282,5/4/2007,16
"ООО ""Марат""",1636006240,А05000312,12/17/2007,16
"ООО ""НУР-Н""",1636005729,А05000497,7/1/2011,16
"ООО ""Наратлык""",1636006465,А05000358,10/8/2009,16
"ООО ""Наратлык""",1636006465,А05000554,10/17/2011,16
"ООО ""Нуркеево""",1636006063,А05000283,5/11/2007,16
"ООО ""Промстройторг""",1636006225,А05000419,10/25/2010,16
"ООО ""РИФ""",1636005800,А05000236,8/22/2006,16
"ООО ""РИФ""",1636005800,А05000409,9/29/2010,16
"ООО ""Розалия""",1636005768,А05000501,7/6/2011,16
"ООО ""Сапфир""",1636006144,А05000291,8/16/2007,16
"ООО ""Сервис""",1636005870,А05000527,8/25/2011,16
"ООО ""Сервис""",1636005870,А05000552,10/13/2011,16
"ООО ""Сервис""",1636005870,А05000570,11/18/2011,16
"ООО ""Спецстройремцентр""",1636003834,А05000287,6/8/2007,16
"ООО ""Финист""",1636006031,А05000276,3/19/2007,16
"ООО ""Клен""",1636005775,А05000196,7/4/2006,16
"ООО ""Агроторг""",7825706086,А05013626,1/30/2012,78
"ООО ""Дионис Плюс""",1650190618,А-05002817,7/6/2009,16
"ООО ""Дионис Плюс""",1650190618,А05003205,9/26/2011,16
"ООО ""Жасмин-Н""",1636006578,А05000370,1/28/2010,16
"ООО ""ИЗУМРУД""",1636006761,А05000469,5/18/2011,16
"ООО ""ИЗУМРУД""",1636006761,А05000509,7/18/2011,16
"ООО ""Оптовик""",1646014874,А05001236,10/8/2010,16
"ООО ""Счастливчик""",1644061452,А-05009525,5/11/2011,16
"Общество с ограниченной ответственностью ""Алмаз""",1636006497,А05000361,12/22/2009,16
"Общество с ограниченной ответственностью ""Алмаз""",1636006497,А05000574,12/2/2011,16
"ПО ""Сармановский кооператор""",1636006539,А05000369,1/28/2010,16
